id	q1	q2	verb1	verb2	if_rate1	if_rate2	if_rate_in_q1	if_rate_in_q2	adverbs1	adverbs2	same_verb	same_unit	which_unit_comp	is_greater	q_comp_tokens	q_rate	operation
10014	25.0	4.0	page	place	None	True	None	None	False	True	False	False	None	True	False	True	+
10014	10.0	25.0	page	page	None	None	None	None	False	False	True	True	None	False	False	True	+
10014	25.0	4.0	page	place	None	True	None	None	False	True	False	False	None	True	False	True	+
10014	25.0	4.0	page	place	None	True	None	None	False	True	False	False	None	True	False	True	+
10014	10.0	25.0	page	page	None	None	None	None	False	False	True	False	None	False	False	True	+
10014	10.0	4.0	page	place	None	True	None	None	False	True	False	False	2	True	False	True	+
10014	25.0	25.0	page	page	None	None	None	None	False	False	True	False	None	False	False	True	+
10014	25.0	25.0	page	page	None	None	None	None	False	False	True	False	None	False	False	True	+
10014	10.0	25.0	page	page	None	None	None	None	False	False	True	True	None	False	False	True	+
10014	10.0	25.0	page	page	None	None	None	None	False	False	True	False	None	False	False	True	+
10014	25.0	25.0	page	page	None	None	None	None	False	False	True	False	None	False	False	True	+
10014	10.0	4.0	page	place	None	True	None	None	False	True	False	False	2	True	False	True	+
10014	25.0	4.0	page	place	None	True	None	None	False	True	False	False	2	True	False	True	+
10014	10.0	25.0	page	page	None	None	None	None	False	False	True	False	None	False	False	True	+
10014	25.0	4.0	page	place	None	True	None	None	False	True	False	False	2	True	False	True	+
10014	25.0	4.0	page	place	None	True	None	None	False	True	False	False	2	True	False	True	+
10014	10.0	25.0	page	page	None	None	None	None	False	False	True	True	None	False	False	True	+
10014	10.0	4.0	page	place	None	True	None	None	False	True	False	False	2	True	False	True	+
10014	25.0	4.0	page	place	None	True	None	None	False	True	False	False	None	True	False	True	+
10014	25.0	10.0	page	include	None	None	None	None	False	False	False	False	None	True	False	True	+
10014	25.0	4.0	page	place	None	True	None	None	False	True	False	False	None	True	False	True	+
10014	25.0	4.0	page	place	None	True	None	None	False	True	False	False	None	True	False	True	+
10014	25.0	25.0	page	page	None	None	None	None	False	False	True	False	None	False	False	True	+
